# time    temp_kitchen_old_filtered_Mai_2016 (processed by pp_show_filtering.py)
2016-05-20T14:25:17Z    19.2949614204
2016-05-20T14:51:57Z    19.2654638265
2016-05-20T15:18:37Z    19.2400242991
2016-05-20T15:45:17Z    19.2197684243
2016-05-20T16:11:57Z    19.205248609
2016-05-20T16:38:37Z    19.1964276418
2016-05-20T17:05:17Z    19.1926956901
2016-05-20T17:31:57Z    19.1929196677
2016-05-20T18:15:18Z    19.1975152603
2016-05-20T18:41:58Z    19.1997919795
2016-05-20T19:08:38Z    19.1990135921
2016-05-20T19:35:18Z    19.1929895524
2016-05-20T20:01:58Z    19.1796800703
2016-05-20T20:28:38Z    19.1573307557
2016-05-20T20:55:18Z    19.1245932775
2016-05-20T21:21:58Z    19.0806258914
2016-05-20T21:48:38Z    19.025168905
2016-05-20T22:15:18Z    18.9585915781
2016-05-20T22:41:59Z    18.881908473
2016-05-20T23:08:39Z    18.7967648114
2016-05-20T23:35:19Z    18.7053918401
2016-05-21T00:11:59Z    18.5746992325
2016-05-21T00:38:39Z    18.4802796353
2016-05-21T01:05:19Z    18.3903506579
2016-05-21T01:31:59Z    18.308572861
2016-05-21T01:58:39Z    18.2385825064
2016-05-21T02:25:19Z    18.183848197
2016-05-21T02:51:59Z    18.1475321868
2016-05-21T03:18:40Z    18.1323619189
2016-05-21T03:45:20Z    18.1405168999
2016-05-21T04:12:00Z    18.1735353798
2016-05-21T04:38:40Z    18.2322445017
2016-05-21T05:05:20Z    18.3167166505
2016-05-21T05:32:00Z    18.4262536876
2016-05-21T05:58:40Z    18.5593996491
2016-05-21T06:25:20Z    18.7139813425
2016-05-21T06:52:00Z    18.8871751745
2016-05-21T07:18:40Z    19.0755975097
2016-05-21T07:45:20Z    19.2754149496
2016-05-21T08:12:01Z    19.4824701716
2016-05-21T08:45:21Z    19.7448419954
2016-05-21T09:12:01Z    19.9522409416
2016-05-21T09:38:41Z    20.1528066149
2016-05-21T10:05:21Z    20.3425568764
